branch_id,branch_name,category,medicine_name,sku,current_stock,unit_cost,unit_price,daily_velocity,days_until_stockout,days_to_expiry,reorder_point,status,is_prescription
B003,Guardian Jurong,Antibiotics,Amoxicillin,SKU1058,170,21.0,35.0,4.88,34,298,68,Good,True
B003,Guardian Jurong,Antibiotics,Azithromycin,SKU1059,161,25.2,42.0,4.76,33,278,66,Good,True
B003,Guardian Jurong,Skin Care,Antibiotic Cream,SKU1060,158,10.8,18.0,5.64,27,268,79,Good,False
B003,Guardian Jurong,Skin Care,Antifungal Cream,SKU1061,127,13.2,22.0,5.32,23,385,74,Good,False
B003,Guardian Jurong,Skin Care,Moisturizer,SKU1062,272,15.0,25.0,6.33,42,374,88,Good,False
B004,Guardian Tampines,Cold & Flu,Paracetamol 500mg,SKU1063,576,5.1,8.5,25.06,22,165,350,Good,False
B004,Guardian Tampines,Cold & Flu,Cough Syrup,SKU1064,517,7.74,12.9,25.86,19,277,361,Low,False
B004,Guardian Tampines,Cold & Flu,Lozenges,SKU1065,734,3.9,6.5,25.32,28,219,354,Good,False
B004,Guardian Tampines,Cold & Flu,Decongestant,SKU1066,925,9.0,15.0,24.37,37,356,341,Good,False
B004,Guardian Tampines,Pain Relief,Ibuprofen 400mg,SKU1067,273,6.3,10.5,8.29,32,485,116,Good,False
B004,Guardian Tampines,Pain Relief,Aspirin,SKU1068,174,4.8,8.0,8.31,20,415,116,Low,False
B004,Guardian Tampines,Pain Relief,Muscle Relaxant,SKU1069,341,15.0,25.0,8.33,40,528,116,Good,True
B004,Guardian Tampines,Digestive,Antacid,SKU1070,243,7.2,12.0,8.7,27,142,121,Good,False
B004,Guardian Tampines,Digestive,Probiotics,SKU1071,251,21.0,35.0,8.12,30,125,113,Good,False
B004,Guardian Tampines,Digestive,Anti-diarrheal,SKU1072,128,10.8,18.0,8.57,14,349,119,Low,False
B004,Guardian Tampines,Chronic,Blood Pressure Med,SKU1073,779,27.0,45.0,13.91,55,540,194,Good,True
B004,Guardian Tampines,Chronic,Diabetes Med,SKU1074,573,39.0,65.0,13.03,43,674,182,Good,True
B004,Guardian Tampines,Chronic,Cholesterol Med,SKU1075,563,33.0,55.0,13.76,40,395,192,Good,True
B004,Guardian Tampines,Vitamins,Multivitamin,SKU1076,271,16.8,28.0,7.33,36,97,102,Good,False
B004,Guardian Tampines,Vitamins,Vitamin C,SKU1077,315,9.0,15.0,8.31,37,424,116,Good,False
B004,Guardian Tampines,Vitamins,Vitamin D,SKU1078,348,13.2,22.0,8.72,39,210,122,Good,False
B004,Guardian Tampines,Antibiotics,Amoxicillin,SKU1079,167,21.0,35.0,5.24,31,468,73,Good,True
B004,Guardian Tampines,Antibiotics,Azithromycin,SKU1080,174,25.2,42.0,4.99,34,281,69,Good,True
B004,Guardian Tampines,Skin Care,Antibiotic Cream,SKU1081,228,10.8,18.0,6.17,36,364,86,Good,False
B004,Guardian Tampines,Skin Care,Antifungal Cream,SKU1082,237,13.2,22.0,6.26,37,90,87,Good,False
B004,Guardian Tampines,Skin Care,Moisturizer,SKU1083,117,15.0,25.0,5.36,21,295,74,Good,False
B005,Guardian Orchard,Cold & Flu,Paracetamol 500mg,SKU1084,207,5.1,8.5,10.91,18,274,152,Low,False
B005,Guardian Orchard,Cold & Flu,Cough Syrup,SKU1085,384,7.74,12.9,12.01,31,148,168,Good,False
B005,Guardian Orchard,Cold & Flu,Lozenges,SKU1086,229,3.9,6.5,11.48,19,487,160,Low,False
B005,Guardian Orchard,Cold & Flu,Decongestant,SKU1087,283,9.0,15.0,11.32,24,343,158,Good,False
B005,Guardian Orchard,Pain Relief,Ibuprofen 400mg,SKU1088,189,6.3,10.5,7.91,23,486,110,Good,False
B005,Guardian Orchard,Pain Relief,Aspirin,SKU1089,371,4.8,8.0,8.63,42,333,120,Good,False
B005,Guardian Orchard,Pain Relief,Muscle Relaxant,SKU1090,341,15.0,25.0,8.77,38,406,122,Good,True
B005,Guardian Orchard,Digestive,Antacid,SKU1091,361,7.2,12.0,9.78,36,513,136,Good,False
B005,Guardian Orchard,Digestive,Probiotics,SKU1092,127,21.0,35.0,8.47,15,306,118,Low,False
B005,Guardian Orchard,Digestive,Anti-diarrheal,SKU1093,212,10.8,18.0,8.87,23,263,124,Good,False
B005,Guardian Orchard,Chronic,Blood Pressure Med,SKU1094,645,27.0,45.0,11.94,54,571,167,Good,True
B005,Guardian Orchard,Chronic,Diabetes Med,SKU1095,419,39.0,65.0,11.66,35,583,163,Good,True
B005,Guardian Orchard,Chronic,Cholesterol Med,SKU1096,565,33.0,55.0,11.31,49,268,158,Good,True
B005,Guardian Orchard,Vitamins,Multivitamin,SKU1097,231,16.8,28.0,9.27,24,422,129,Good,False
B005,Guardian Orchard,Vitamins,Vitamin C,SKU1098,127,9.0,15.0,8.48,14,135,118,Low,False
B005,Guardian Orchard,Vitamins,Vitamin D,SKU1099,335,13.2,22.0,9.32,35,261,130,Good,False
B005,Guardian Orchard,Antibiotics,Amoxicillin,SKU1100,127,21.0,35.0,4.23,30,425,59,Good,True
B005,Guardian Orchard,Antibiotics,Azithromycin,SKU1101,101,25.2,42.0,3.91,25,644,54,Good,True
B005,Guardian Orchard,Skin Care,Antibiotic Cream,SKU1102,220,10.8,18.0,5.97,36,261,83,Good,False
B005,Guardian Orchard,Skin Care,Antifungal Cream,SKU1103,156,13.2,22.0,5.8,26,171,81,Good,False
B005,Guardian Orchard,Skin Care,Moisturizer,SKU1104,129,15.0,25.0,6.48,19,174,90,Low,False
